Процедура,Время,"Цена, ₽"
F-SILORG (органический кремний),60 мин,3900
F-XFC (пептидный коктель для комплексного омоложения 30+),60 мин,5000
F-XFC FACE (антивозрастной коктель с  лифтинг эффектом),60 мин,5000
F-XFC+ (полиревитализирующий пептидный коктель),60 мин,7000
F-XFC FACE (антивозрастной пептидный коктель 40+),60 мин,7500
F-HYDRALIX (пептидный коктель для интенсивного увлажнения),60 мин,6500
F-DMAE (3% диметиламиноэтанол),60 мин,3900
F-SLIMLIFT (коктель для уменьшения локальных жировых отложений н лице),60 мин,3950
F-GLOWLIFT (коктель для устранения пигментации и лифтинга кожи),60 мин,9000
F-HA ULTRA (коктель для интенсивного увлажнения),60 мин,4700
F-MELACLEAR (коктель для локального устранения пигментых пятен),60 мин,5500
F-EYE CONTOUR (пептидный коктель для области вокруг глаз),60 мин,3500
F-RADIANCE (пептидный  коктель для борьбы с пигментацией),60 мин,5000
F-ACN (пептидный коктель для борьбы с акне),60 мин,3550
F-PERFECT LIPS  (пептидный коктель для объема и контуров губ),60 мин,3900
F-COUPERIX (коктель для купероза),60 мин,5000
F-MESOMATRIX (пептидный комплекс для восстановления и обновления),60 мин,5000
F-BTX (пептидный коктель с эффектом ботокса - мезоботокс),60 мин,5000
